#search term: ((gender[Title/Abstract]) OR sex[Title/Abstract]) AND (fMRI[Title/Abstract] OR EEG[Title/Abstract]) 
pubmed_ID
28727713	Local Brain Activity Differences Between Herpes Zoster and Postherpetic Neuralgia Patients: A Resting-State Functional MRI Study.\2017 Jul
28719572	Neuroimaging Correlates of Post-Stroke Aphasia Rehabilitation in a Pilot Randomized Trial of Constraint-Induced Aphasia Therapy.\2017 Jul 18
28598121	[Regional Homogeneity Changes in Patients with Social Anxiety Disorders after Cognitive Behavioral Therapy.]\2016 Nov
28535638	[Application of long term video electroencephalogram and resting-state functional magnetic resonance imaging in detection of cognition in patients with benign epilepsy of childhood with centrotemporal spikes].\2017 May 23
28418321	S100A10 identified in a genome-wide gene x cannabis dependence interaction analysis of risky sexual behaviours.\2017 Jun
28160596	Continuous Electroencephalography (cEEG) Monitoring and Outcomes of Critically Ill Patients.\2017 Feb 04
28072803	Neural Correlates of Maladaptive Pain Behavior in Chronic Neck Pain - A Single Case Control fMRI Study.\2017 Jan-Feb
27903342	[Fractional amplitude of low-frequency fluctuations in childhood and adolescence-onset schizophrenia: a resting state fMRI study].\2016 Nov 22
27843463	The Comparison between Effect of Chloralhydrate and Diphenhydramine on Sedating for Electroencephalography.\2016 Fall
27070350	Male-typical visuospatial functioning in gynephilic girls with gender dysphoria - organizational and activational effects of testosterone.\2016 Oct
27570953	[Emotional Memory and Electrocortical Activity in Schizophrenia].\Spring 2016
27358223	Cerebrospinal fluid analysis after unprovoked first seizure.\2016 Apr-Jun
27247579	Association of Family History of Epilepsy with Earlier Age Onset of Juvenile Myoclonic Epilepsy.\2016 Spring
27222259	Cerebrospinal fluid analysis after unprovoked first seizure.\2015 May 25
26859988	[Sex Differences in Visual Task Switching (an fMRI Study)].\2015 Nov-Dec
26841656	[The Modeling of Human Visual ERPs Sources in the Task of Line Orientation Identification].\2015 Nov-Dec
26814117	[Altered cortical and subcortical local coherence in migraine with and without aura:evidence from resting-state fMRI].\2015 Oct 20
26758111	[Cognitive profile of children with newly onset benign epilepsy with centro-temporal spikes before treatment:a study of computerized cognitive testing in epilepsy].\2015 Oct
26710802	[Alterations of brain network efficiency in patients with post-concussion syndrome].\2015 Jul 07
26675798	[Application of spatial working memory task fMRI in evaluation of primary insomnia patient's cognitive dysfunction].\2015 Jun 02
26617679	Electrophysiological Neuroimaging using sLORETA Comparing 22 Age Matched Male and Female Schizophrenia Patients.\2015
26601411	[Age-Related Features of EEG Coherence in Children and Adolescents Living in the European North of Russia].\2015 Sep-Oct
